source_id,source_url,path,geothermal_system,latitude,longitude,name,map_description,source,source_licence,attribution,parsed_at_utc
254,https://1000springs.org.nz/samplesite/254,/samplesite/254,Waimangu,-38.2793,176.4092,Iodine Pool,"Iodine Pool at Waimangu is fed from a geyser that erupts regularly. It has a light brown colour, like iodine. No outflow visible and some vegetation overhangs pool.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275370+00:00
255,https://1000springs.org.nz/samplesite/255,/samplesite/255,Waimangu,-38.2821,176.3991,Inferno Crater,"Larger crater lake with geyser underneath. It has monthly (approx) cycles where the temperature ranges from 30 to 80 degree celsius. At its highest temperature, the lake overflows into a stream that joins with Waimangu Stream near Bird's Nest Geyser.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275402+00:00
256,https://1000springs.org.nz/samplesite/256,/samplesite/256,Waimangu,-38.2829,176.3989,Waimangu No.16 Feature 1,"A small spring that's very bubbly and audible. It is adjacent to Waimangu Stream and can be found at feature number 16, just before the first bridge. It outflows into a pool in front of it. Some biofilm overhangs it, otherwise no vegetation.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275434+00:00
257,https://1000springs.org.nz/samplesite/257,/samplesite/257,Waimangu,-38.2828,176.3989,Waimangu No.16 Feature 2,"Pool immediately adjacent to Feature 1 (Feature 1 runs into this pool). However, the pool has individual, small inputs on its bed. Lots of pock-marked grey and brown sediment on bed also. Runs into Waimangu Stream. Vegetation about 30 cm back from the edge.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275466+00:00
258,https://1000springs.org.nz/samplesite/258,/samplesite/258,Waimangu,-38.2829,176.3989,Waimangu No.16 Feature 3,Small spring with orange colour sediment surrounding it. Outflows into Waimangu Stream. Spare vegetation exists about 30 cm from this spring but it doesn't overhang.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275491+00:00
259,https://1000springs.org.nz/samplesite/259,/samplesite/259,Waimangu,-38.2828,176.3989,Waimangu No.16 Feature 4,"Spring nearest to Waimangu Stream on this plateau. It's surrounded by a hard silica boundry, and outflows into the stream. No vegetation overhangs.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275514+00:00
260,https://1000springs.org.nz/samplesite/260,/samplesite/260,Waimangu,-38.2828,176.3989,Waimangu No.16 Feature 5,"Small spring on the edge of Waimangu Stream, about five metres downstream of the plateau at Number 16. Branches and vegetation overhang this spring and it outflows into the stream.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275538+00:00
261,https://1000springs.org.nz/samplesite/261,/samplesite/261,Waimangu,-38.2829,176.3987,Waimangu No.14 Feature 1,"Eruptive, small spring that looks like it is boiling. It has an orange colour around the outside and no vegetation nearby. It is surrounded by dead twigs however.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275561+00:00
262,https://1000springs.org.nz/samplesite/262,/samplesite/262,Waimangu,-38.2828,176.3986,Waimangu No.14 Feature 2,Heart-shaped spring close to Feature 1 on the plateau at No. 14. Hard silica surrounds this spring with zero vegetation. No visible outflow.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275585+00:00
263,https://1000springs.org.nz/samplesite/263,/samplesite/263,Waimangu,-38.2827,176.3986,Waimangu No.14 Feature 3,"This spring sits to the left of heart shaped spring (Feature 2). It looks like it is boiling, with lots of sediment on its bed. Zero vegetation surrounding it. It outflows into Waimangu Stream.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275612+00:00
264,https://1000springs.org.nz/samplesite/264,/samplesite/264,Waimangu,-38.2827,176.3986,Waimangu No.14 Feature 4,"This spring sits to the left of Feature 1, and is the middle spring of three small springs in a row. This one looks like a ""birds nest"", and has a build up of biofilm around its edges.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275641+00:00
265,https://1000springs.org.nz/samplesite/265,/samplesite/265,Waimangu,-38.2829,176.3985,Waimangu No.15 Feature 1,"Pink spring that looks very turbid. The ground is unstable surrounding this spring and looks acidic. There is pink sediment at the sides, with no surrounding vegetation. No visible outflow.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275667+00:00
266,https://1000springs.org.nz/samplesite/266,/samplesite/266,Waimangu,-38.283,176.3985,Waimangu No.15 Feature 2,"Pock-marked sediment on the bottom of this spring, green/yellow in colour. Lots of vegetation overhangs and there is no visible outflow.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275688+00:00
267,https://1000springs.org.nz/samplesite/267,/samplesite/267,Waiotapu,-38.3578,176.3702,Devil's Ink Pots,The last spring in this chain known as the Ink Pots. This spring is to the right of the path and has lots of grey precipitate floating on top. Looks very turbid. No vegetation or visible outputs.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275716+00:00
268,https://1000springs.org.nz/samplesite/268,/samplesite/268,Waiotapu,-38.3582,176.3695,Artist's Palette Feature 1,"This spring is directly below the lookout for Artist's Palette and Champagne Pool at Waiotapu (to the south-east). It is green/yellow in colour, and has no visible outputs. Dense vegetation overhangs it on one side.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275747+00:00
269,https://1000springs.org.nz/samplesite/269,/samplesite/269,Waiotapu,-38.3588,176.3705,Opal Pool,"This spring is a vivid green/yellow in colour, the water level very high so it overflows slightly onto the surrounding terrace. There is no vegetation immediately surrounding it. Some separate springs exist behind it but they are not safe to sample.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275777+00:00
270,https://1000springs.org.nz/samplesite/270,/samplesite/270,Waiotapu,-38.3592,176.3698,Artist's Palette Feature 2,"Small spring next to the board walk at Waiotapu, which sits to the left of Jean Batten Geyser. There are no visible outputs or vegetation surrounding this spring.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275802+00:00
271,https://1000springs.org.nz/samplesite/271,/samplesite/271,Waiotapu,-38.3571,176.3676,Devil's Bath,This spring has a vivid green colour. Some sparse vegetation hangs out around the edges but most of this is dead. There is a build up of yellow precipitation at the edge of the water. A stream flows into the spring.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275831+00:00
272,https://1000springs.org.nz/samplesite/272,/samplesite/272,Waiotapu,-38.3589,176.3688,Champagne Pool,Most iconic hotspring in New Zealand. Amorphous red and orange precipitate around the edges. Low volume outflow over a sinter terrace. No vegetation near edges. Lots of steam clouds.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275855+00:00
278,https://1000springs.org.nz/samplesite/278,/samplesite/278,Waiotapu,-38.3613,176.3693,Waiotapu No.13 Feature 1,"Very fast flowing stream, sample taken slightly upstream from the geyser side. Some vegetation overhangs this feature.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275874+00:00
279,https://1000springs.org.nz/samplesite/279,/samplesite/279,Waiotapu,-38.3613,176.3693,Waiotapu No.13 Feature 2,Small spring that used to geyser but has been dormant for awhile. No vegetation surrounds it and there are no visible outputs. There is a hard sinter around this spring.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275898+00:00
280,https://1000springs.org.nz/samplesite/280,/samplesite/280,Waiotapu,-38.3612,176.3692,Waiotapu No.13 Feature 3,Furthest spring to the right side of the bridge. It slighty overflows into the stream and some dead vegetation hangs out at one side.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275918+00:00
281,https://1000springs.org.nz/samplesite/281,/samplesite/281,Waiotapu,-38.3613,176.3691,Waiotapu No.13 Feature 4,"Small spring with lots of precipitate on the bottom and around the edges. It slightly overflows into the output from Feature 3, and then into the stream. No vegetation except for a couple of dead branches around the edges.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275948+00:00
282,https://1000springs.org.nz/samplesite/282,/samplesite/282,Waiotapu,-38.3612,176.3692,Waiotapu No.13 Feature 5,"This spring is adjacent to Feature 4 (to the left if looking from the bridge), but has more bubbling and gas discharge, and looks more turbid. Some very dead twigs have fallen into the spring, and there is a small outflow into the nearby stream.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275978+00:00
283,https://1000springs.org.nz/samplesite/283,/samplesite/283,Waiotapu,-38.3614,176.369,Waiotapu No.13 Feature 6,"This is a very slow flowing stream, that has a build up of yellow precipitate on its bed (most likely due to arsenic). The spring has a large overflow into the stream. No vegetation around it except for some dead twigs.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276008+00:00
284,https://1000springs.org.nz/samplesite/284,/samplesite/284,Waiotapu,-38.3612,176.369,Alum Cliffs Feature 1,This spring is bubbling vigorously and looks very shallow. No vegetation exists nearby and the spring has some very slight overflow (perhaps more if the water table is higher).,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276032+00:00
285,https://1000springs.org.nz/samplesite/285,/samplesite/285,Waiotapu,-38.3613,176.3688,Alum Cliffs Feature 2,This sample was taken from the converging point of three streams at the Alum Cliffs (directly across from the No.14 sign). The stream is very fast flowing at this point and there is little vegetation nearby.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276060+00:00
294,https://1000springs.org.nz/samplesite/294,/samplesite/294,Waiotapu,-38.3614,176.3688,Alum Cliffs Feature 3,Small spring at the side of the stream by the Alum Cliffs. It's on the side of the path. Lots of gas discharge. Zero vegetation surrounds it (except for a few dead twigs) and it outflows into the stream.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276089+00:00
295,https://1000springs.org.nz/samplesite/295,/samplesite/295,Waiotapu,-38.3613,176.3688,Alum Cliffs Feature 4,Small spring across the stream in front of the Alum Cliffs. This spring has lots of dead branches overhanging it and there a very small outflow into the stream. There is brown sediment on the bottom and a steep embankment to one side.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276119+00:00
296,https://1000springs.org.nz/samplesite/296,/samplesite/296,Waiotapu,-38.3614,176.3688,Alum Cliffs Feature 5,This is the first spring in a series of five on the banks where the stream flows into the lake at the Alum Cliffs. This one was sampled by Katrin Hug and is immediately adjacent to the path. Zero vegetation surrounds it and there is some slight outflow into the stream.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276151+00:00
297,https://1000springs.org.nz/samplesite/297,/samplesite/297,Waiotapu,-38.3615,176.3689,Alum Cliffs Feature 6,"This is the second spring in this series of five. It is small and immediately adjacent to the stream. There is no vegetation nearby, except for a dead branch near one end. The spring overflows into the stream.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276179+00:00
298,https://1000springs.org.nz/samplesite/298,/samplesite/298,Waiotapu,-38.3614,176.3687,Alum Cliffs Feature 7,"The third spring in this series, this one is also small and is closest to path. No vegetation is near it and it has a dark yellow/brown colour. There are no visible outflows.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276203+00:00
299,https://1000springs.org.nz/samplesite/299,/samplesite/299,Waiotapu,-38.3614,176.3686,Alum Cliffs Feature 8,"Katrin's spring, the fourth in this series near the Alum Cliffs. This spring is a vivid yellow colour due to high levels of arsenic. It is surrounded by small rocks and outflows into the lake. No vegetation.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276232+00:00
300,https://1000springs.org.nz/samplesite/300,/samplesite/300,Waiotapu,-38.3611,176.3688,Alum Cliffs Feature 9,Very small spring just downstream of Feature 8. This one is more green in colour than yellow. No vegetation nearby and it outflows into the lake. Feature 8 flows into this spring sometimes.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276257+00:00
301,https://1000springs.org.nz/samplesite/301,/samplesite/301,Waiotapu,-38.3614,176.3688,Alum Cliffs Feature 10,"This sample was taken from the large spring/lake by the Alum Cliffs. The stream flows into this lake, and then it outflows into Frying Pan Flat. The sample was taken right by the path after the Alum Cliffs sign, on the left side of the lake. Some spare vegetation, half dead, hangs out on the edges of this lake. There is a green tinge to the colour.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276299+00:00
302,https://1000springs.org.nz/samplesite/302,/samplesite/302,Waiotapu,-38.3612,176.3688,Alum Cliffs Feature 11,"This spring is situated across the stream from the path at the Alum Cliffs. There is no visible outflow, but possibly one occurs if the water table is higher. No vegetation surrounds this spring and it looks murky and slightly green.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276329+00:00
303,https://1000springs.org.nz/samplesite/303,/samplesite/303,Waiotapu,-38.3613,176.3688,Alum Cliffs Feature 12,"This spring is also across the stream at the Alum Cliffs like Feature 11, but this one is closer to the embankment. It's also ten degrees hotter and less turbid looking. No vegetation exists near this spring, except for a few dead branches. There is no visible output from this spring, and it is surrounded by geothermal-altered ground.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276367+00:00
304,https://1000springs.org.nz/samplesite/304,/samplesite/304,Wairakei-Tauhara,-38.6291,176.1028,Prawn Park Feature 1,These set of terraces have been developed by Andrew at the Prawn Park. Silica has deposited out of solution to form silica terraces. This sample was taken from the second terrace after the main inlet. It outflows into Wairakei Stream which then continues to join the mighty Waikato River. There is no vegetation near this terrace.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276404+00:00
305,https://1000springs.org.nz/samplesite/305,/samplesite/305,Wairakei-Tauhara,-38.629,176.1029,Prawn Park Feature 2,"This sample was taken from the first or main terrace that the output pipe flows into to. There is a hole in the terrace at the entry point of the fluid. Some low-lying grass exists on one edge of the terrace, otherwise no vegetation. The terrace outflows into Wairakei Stream, and then onto the mighty Wairakei River.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276440+00:00
306,https://1000springs.org.nz/samplesite/306,/samplesite/306,Wairakei-Tauhara,-38.6291,176.1029,Prawn Park Feature 3,"To the right of main pipe, there is a small pot that a pipe flows into. The sample was taken from this (pipe overflow). It has purple precipitate around the edges, and outflows into Feature 2. Zero vegetation nearby.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276469+00:00
307,https://1000springs.org.nz/samplesite/307,/samplesite/307,Wairakei-Tauhara,-38.629,176.1029,Prawn Park Feature 4,This sample was taken from a pool with yellow coloured precipitate to the extreme right of main terrace and Feature 3. It has grass growing on one side and outflows into the main terrace.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276496+00:00
308,https://1000springs.org.nz/samplesite/308,/samplesite/308,Wairakei-Tauhara,-38.6291,176.1031,Prawn Park Feature 5,"This sample was taken from the furthest terrace on the right hand side of pipe, nearest the mighty Waikato River. It outflows into the river and has input from the terraces above. Vegetation is growing on one side of the terrace and there is a large build up of sillica on the base.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276529+00:00
309,https://1000springs.org.nz/samplesite/309,/samplesite/309,Wairakei-Tauhara,-38.6293,176.1034,Prawn Park Feature 6,"This sample was taken from Wairakei Stream, downstream of the terraces (Features 1 to 5), just before the stream joins the mighty Waikato River. There is vegetation on the banks of the stream.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276556+00:00
310,https://1000springs.org.nz/samplesite/310,/samplesite/310,Wairakei-Tauhara,-38.6287,176.1033,Prawn Park Feature 7,"This sample was taken upstream of the terraces from Wairakei Stream, the area has been recently cleared by Andrew with a machete. Lots of long grass overhangs the stream, and it continues on to join the mighty Waikato River.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276585+00:00
311,https://1000springs.org.nz/samplesite/311,/samplesite/311,Wairakei-Tauhara,-38.6283,176.1024,Prawn Park Feature 8,This is a collection pool of steam condensate coming from a pipe. It is one of the prawn hatching pools inside the sheds. It has a vivid blue colour from silica content. There is an overflow at one end. Feature type is a hatching pond.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276615+00:00
312,https://1000springs.org.nz/samplesite/312,/samplesite/312,Waimangu,-38.2828,176.3978,Waimangu No.13 Feature 1,"This tiny spring sits on the banks of Waimangu Stream, in between Frying Pan Lake and Inferno Crater. There is another small spring immediately adjacent to it. The spring has green and orange biomass growing around it and it has a small outflow. No vegetation overhanging.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276647+00:00
313,https://1000springs.org.nz/samplesite/313,/samplesite/313,Waimangu,-38.2828,176.3977,Waimangu No.13 Feature 2,"This spring lies immediately to the right of Feature 1 on the banks of Waimangu Stream, and the two are only separated by approx 5 cm. This one is also small, and has the same green and orange biomass growing around it. There is some slight mixing between the two springs, yet there is over 20 C difference between their temperatures.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276684+00:00
314,https://1000springs.org.nz/samplesite/314,/samplesite/314,Waimangu,-38.2828,176.3977,Waimangu No.13 Feature 3,"Another tiny spring right next to Waimangu Stream at No.13. There is lots of mixing with the stream, and a spongy biomat surrounds it. There is some white foam around the edges too.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276710+00:00
315,https://1000springs.org.nz/samplesite/315,/samplesite/315,Waimangu,-38.2828,176.3979,Waimangu No.13 Feature 4,Waimangu Stream. The sample was taken adjacent to the big spring that sits on the opposite bank of the stream. Green and orange biomass is growing on both banks and there is a build up of white foam. The stream continues on down the valley and flows into Lake Rotomahana.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276743+00:00
316,https://1000springs.org.nz/samplesite/316,/samplesite/316,Waimangu,-38.2828,176.3976,Waimangu No.13 Feature 5,"This spring sits on the far side of Waimangu Stream, gumboots were needed to sample. It's quite turbulent and outflows into the stream. There is a sinter surrounding it with green biomass growing.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.276771+00:00
